field_id,forecast_step,forecast_ET
0,1,41.92839597686069
0,2,81.17842833255119
0,3,112.00129539057195
0,4,26.26238158948707
0,5,42.31300782722526
0,6,81.56304018291577
0,7,112.38590724093652
0,8,26.64699343985164
0,9,42.69761967758984
0,10,81.94765203328033
0,11,112.7705190913011
0,12,27.031605290216206
1,1,39.74584699760529
1,2,67.41329669436607
1,3,81.8826549246943
1,4,17.360819958110696
1,5,39.93717963172566
1,6,67.60462932848644
1,7,82.07398755881465
1,8,17.55215259223106
1,9,40.12851226584603
1,10,67.7959619626068
1,11,82.26532019293501
1,12,17.74348522635143
2,1,38.913867678602216
2,2,70.77708755405628
2,3,131.36608943802995
2,4,27.911062514472484
2,5,38.821426457309855
2,6,70.68464633276392
2,7,131.2736482167376
2,8,27.818621293180122
2,9,38.72898523601749
2,10,70.59220511147156
2,11,131.18120699544522
2,12,27.72618007188776
3,1,41.3207385309036
3,2,65.0428502501045
3,3,67.0269181525159
3,4,15.62396238298761
3,5,42.037224223932796
3,6,65.75933594313369
3,7,67.7434038455451
3,8,16.34044807601681
3,9,42.753709916961995
3,10,66.47582163616289
3,11,68.4598895385743
3,12,17.056933769046008
4,1,49.4236489849123
4,2,89.48439800052655
4,3,125.01889881729123
4,4,30.20661712121948
4,5,50.011539545462604
4,6,90.07228856107686
4,7,125.60678937784154
4,8,30.794507681769787
4,9,50.59943010601291
4,10,90.66017912162717
4,11,126.19467993839184
4,12,31.382398242320093
5,1,46.240402177796554
5,2,83.5952985646681
5,3,109.5554010654956
5,4,23.985173139655977
5,5,46.8062472946538
5,6,84.16114368152535
5,7,110.12124618235285
5,8,24.551018256513224
5,9,47.37209241151105
5,10,84.72698879838259
5,11,110.6870912992101
5,12,25.11686337337047
6,1,48.04207815493984
6,2,86.47815564820255
6,3,120.29138225025599
6,4,30.252822401517825
6,5,48.56074144442585
6,6,86.99681893768856
6,7,120.810045539742
6,8,30.771485691003853
6,9,49.07940473391188
6,10,87.51548222717457
6,11,121.32870882922802
6,12,31.290148980489867
7,1,37.437181198754956
7,2,67.81169746353609
7,3,93.0419286628949
7,4,21.006994133916926
7,5,37.82492044546905
7,6,68.19943671025018
7,7,93.429667909609
7,8,21.394733380631017
7,9,38.21265969218314
7,10,68.58717595696427
7,11,93.81740715632309
7,12,21.782472627345108
8,1,49.77037832549186
8,2,88.29380255673746
8,3,128.7420584567838
8,4,33.87018559235342
8,5,50.20350762279624
8,6,88.72693185404184
8,7,129.17518775408817
8,8,34.30331488965781
8,9,50.63663692010063
8,10,89.16006115134621
8,11,129.60831705139256
8,12,34.73644418696219
9,1,41.70723882715704
9,2,72.39632922229083
9,3,104.18911907943402
9,4,25.423696022053015
9,5,41.69260174486426
9,6,72.38169213999805
9,7,104.17448199714123
9,8,25.40905893976023
9,9,41.67796466257147
9,10,72.36705505770527
9,11,104.15984491484843
9,12,25.394421857467442
10,1,38.1513812224217
10,2,60.41680849228387
10,3,72.26106311993125
10,4,16.468940681899927
10,5,38.50567882566651
10,6,60.77110609552868
10,7,72.61536072317607
10,8,16.823238285144736
10,9,38.85997642891131
10,10,61.12540369877349
10,11,72.96965832642087
10,12,17.17753588838954
11,1,48.581257701970564
11,2,77.87454657918138
11,3,108.46097395706155
11,4,26.714264405908132
11,5,49.53821322537319
11,6,78.83150210258403
11,7,109.41792948046418
11,8,27.671219929310773
11,9,50.49516874877583
11,10,79.78845762598665
11,11,110.37488500386684
11,12,28.6281754527134
12,1,45.4532853678074
12,2,72.06752608895681
12,3,90.13993080622365
12,4,20.27847326209269
12,5,46.05859358937618
12,6,72.67283431052559
12,7,90.74523902779242
12,8,20.883781483661465
12,9,46.66390181094496
12,10,73.27814253209436
12,11,91.3505472493612
12,12,21.489089705230242
13,1,61.84195018967671
13,2,99.02414252535021
13,3,138.2908163565821
13,4,39.137809215551094
13,5,63.11241232675472
13,6,100.29460466242823
13,7,139.5612784936601
13,8,40.40827135262911
13,9,64.38287446383275
13,10,101.56506679950625
13,11,140.83174063073812
13,12,41.678733489707135
14,1,38.045362568437625
14,2,52.78649978519685
14,3,63.368455065162344
14,4,16.198578812260937
14,5,38.29705652438769
14,6,53.03819374114692
14,7,63.62014902111241
14,8,16.450272768211004
14,9,38.54875048033776
14,10,53.28988769709699
14,11,63.87184297706248
14,12,16.70196672416107
15,1,35.89292858326857
15,2,59.52894383811926
15,3,75.5050683189182
15,4,18.40317126881034
15,5,35.93529086003126
15,6,59.57130611488195
15,7,75.5474305956809
15,8,18.445533545573028
15,9,35.97765313679395
15,10,59.61366839164464
15,11,75.58979287244358
15,12,18.487895822335716
16,1,36.83804575161339
16,2,60.47569375219849
16,3,73.4149894896629
16,4,18.68653750444856
16,5,36.78899244964569
16,6,60.42664045023079
16,7,73.3659361876952
16,8,18.637484202480863
16,9,36.73993914767799
16,10,60.37758714826309
16,11,73.3168828857275
16,12,18.58843090051316
17,1,35.19270564274443
17,2,57.583090359829136
17,3,75.18850919546536
17,4,14.48637000346866
17,5,34.705745531532166
17,6,57.09613024861687
17,7,74.70154908425309
17,8,13.999409892256406
17,9,34.21878542031991
17,10,56.60917013740462
17,11,74.21458897304083
17,12,13.512449781044143
18,1,34.90923096410484
18,2,56.45019643721392
18,3,64.51030950051904
18,4,13.463616753127624
18,5,34.703964371735644
18,6,56.24492984484473
18,7,64.30504290814983
18,8,13.258350160758425
18,9,34.49869777936645
18,10,56.03966325247553
18,11,64.09977631578064
18,12,13.053083568389233
19,1,41.00793226717448
19,2,62.07638234926262
19,3,72.91637033158898
19,4,20.91869946209212
19,5,41.187110694957696
19,6,62.255560777045844
19,7,73.0955487593722
19,8,21.09787788987535
19,9,41.36628912274092
19,10,62.434739204829064
19,11,73.27472718715542
19,12,21.27705631765857
20,1,32.427657444823524
20,2,56.771370327542705
20,3,89.3089243453887
20,4,19.26147651448455
20,5,32.16779505211271
20,6,56.51150793483189
20,7,89.04906195267787
20,8,19.001614121773727
20,9,31.907932659401897
20,10,56.25164554212107
20,11,88.78919955996707
20,12,18.741751729062912
21,1,37.26273720168185
21,2,62.20403906611011
21,3,100.21663771034233
21,4,25.39063446852228
21,5,37.100942004935625
21,6,62.04224386936389
21,7,100.0548425135961
21,8,25.228839271776046
21,9,36.93914680818939
21,10,61.88044867261765
21,11,99.89304731684987
21,12,25.06704407502982
22,1,36.026359466966895
22,2,51.515331899430805
22,3,53.32139453427977
22,4,12.18525407071225
22,5,36.096724234080455
22,6,51.58569666654437
22,7,53.39175930139333
22,8,12.255618837825818
22,9,36.16708900119402
22,10,51.65606143365793
22,11,53.462124068506895
22,12,12.325983604939378
23,1,32.55062561810415
23,2,58.45115704639793
23,3,93.09017961927097
23,4,19.635692753653508
23,5,31.983311385206008
23,6,57.8838428134998
23,7,92.52286538637283
23,8,19.068378520755367
23,9,31.415997152307874
23,10,57.316528580601656
23,11,91.95555115347469
23,12,18.501064287857233
24,1,36.237617876021545
24,2,71.95833471297485
24,3,113.71422221803712
24,4,24.623881024512983
24,5,35.71906456189711
24,6,71.43978139885041
24,7,113.19566890391269
24,8,24.10532771038855
24,9,35.20051124777268
24,10,70.92122808472598
24,11,112.67711558978826
24,12,23.58677439626412
25,1,43.289716225505515
25,2,68.81961662142575
25,3,96.00549481146527
25,4,27.168329573014766
25,5,43.428457949264256
25,6,68.95835834518451
25,7,96.14423653522402
25,8,27.307071296773508
25,9,43.567199673023
25,10,69.09710006894325
25,11,96.28297825898278
25,12,27.445813020532256
26,1,41.184416417862025
26,2,71.52502758118248
26,3,133.17078057410106
26,4,34.435114928283504
26,5,40.977782182787905
26,6,71.31839334610837
26,7,132.96414633902694
26,8,34.2284806932094
26,9,40.771147947713786
26,10,71.11175911103426
26,11,132.75751210395282
26,12,34.02184645813528
27,1,38.95301694738839
27,2,67.92386926531488
27,3,130.37414324923787
27,4,31.807599183821544
27,5,38.44851204206422
27,6,67.41936435999071
27,7,129.86963834391372
27,8,31.303094278497376
27,9,37.944007136740055
27,10,66.91485945466654
27,11,129.36513343858957
27,12,30.798589373173208
28,1,33.99135183567148
28,2,58.285290459457876
28,3,113.80786219805582
28,4,17.462198633487425
28,5,33.992813713466106
28,6,58.286752337252494
28,7,113.80932407585044
28,8,17.46366051128205
28,9,33.994275591260724
28,10,58.28821421504712
28,11,113.81078595364505
28,12,17.46512238907667
29,1,47.60454793511059
29,2,68.1685763274868
29,3,90.33259863390694
29,4,33.12866441087666
29,5,48.19837547902655
29,6,68.76240387140278
29,7,90.92642617782292
29,8,33.72249195479264
29,9,48.79220302294253
29,10,69.35623141531876
29,11,91.5202537217389
29,12,34.31631949870861
30,1,34.5856090532143
30,2,50.408123285508736
30,3,65.28624401475336
30,4,11.456472935827918
30,5,34.61879948370696
30,6,50.441313716001396
30,7,65.31943444524602
30,8,11.489663366320578
30,9,34.65198991419962
30,10,50.474504146494056
30,11,65.35262487573868
30,12,11.522853796813237
31,1,32.40853903933727
31,2,48.96032969291836
31,3,60.13939639354709
31,4,13.606563770134063
31,5,31.838442522850045
31,6,48.39023317643113
31,7,59.56929987705986
31,8,13.036467253646837
31,9,31.26834600636282
31,10,47.820136659943905
31,11,58.999203360572636
31,12,12.466370737159604
32,1,33.70218898497254
32,2,53.98460807229473
32,3,65.25246740391091
32,4,14.63954455734213
32,5,33.277517936603175
32,6,53.55993702392537
32,7,64.82779635554155
32,8,14.214873508972769
32,9,32.85284688823381
32,10,53.13526597555601
32,11,64.40312530717219
32,12,13.790202460603407
33,1,38.01235183381429
33,2,61.79771592462785
33,3,81.25555879507735
33,4,16.39935563417263
33,5,37.64470726060625
33,6,61.43007135141981
33,7,80.88791422186931
33,8,16.03171106096459
33,9,37.277062687398214
33,10,61.06242677821177
33,11,80.52026964866127
33,12,15.66406648775655
34,1,41.522159851266245
34,2,69.18248406349261
34,3,103.37526546626239
34,4,29.151582002825165
34,5,41.548294158076374
34,6,69.20861837030273
34,7,103.40139977307253
34,8,29.177716309635294
34,9,41.5744284648865
34,10,69.23475267711287
34,11,103.42753407988266
34,12,29.203850616445422
35,1,28.15328379590128
35,2,47.61813085702458
35,3,78.57729377053073
35,4,6.72349984016514
35,5,25.065028024971006
35,6,44.5298750860943
35,7,75.48903799960044
35,8,3.635244069234858
35,9,21.976772254040725
35,10,41.44161931516402
35,11,72.40078222867017
35,12,0.54698829830458
36,1,51.392142638189405
36,2,71.29303335937236
36,3,93.01578184041645
36,4,38.05722220295803
36,5,52.19807047261512
36,6,72.09896119379808
36,7,93.82170967484217
36,8,38.86315003738375
36,9,53.00399830704084
36,10,72.9048890282238
36,11,94.62763750926788
36,12,39.66907787180948
37,1,31.715312812180485
37,2,63.525731078038866
37,3,100.98119234828661
37,4,21.008891427375648
37,5,28.37842285699856
37,6,60.18884112285695
37,7,97.6443023931047
37,8,17.672001472193724
37,9,25.041532901816637
37,10,56.85195116767502
37,11,94.30741243792278
37,12,14.3351115170118
38,1,37.2054881710435
38,2,55.60606938656868
38,3,62.72513159448641
38,4,18.423796218179653
38,5,36.73238631794054
38,6,55.13296753346572
38,7,62.25202974138345
38,8,17.950694365076686
38,9,36.25928446483758
38,10,54.659865680362756
38,11,61.77892788828049
38,12,17.477592511973725
