field_id,n_observations,mean_ET,std_ET,cv_percent,trend_coefficient,trend_percent_per_period,trend_direction,persistence_lag1,persistence_class,anomaly_score,anomaly_status,forecast_mean_ET,forecast_trend,forecast_uncertainty,min_ET,max_ET,range_ET
0,100,74.39636363636365,43.50416246827556,58.47619472494148,-0.11688296102337545,-0.15710843287271248,stable,0.14983574609431108,low,0.17471682385454249,normal,62.246967,3.464230250645352,18.675356,15.818181818181818,190.0,174.1818181818182
1,100,58.99260869565218,30.15281498644538,51.112869312164655,-0.1350701157072232,-0.2289610829113546,stable,0.07605139645295,low,0.18900823811456913,normal,65.48728,2.647910865036758,7.505298,7.695652173913044,120.69565217391305,113.0
2,100,68.44373015873016,45.36182029646148,66.27607845344103,-0.01893613170840902,-0.0276667149269825,stable,-0.12257136103784316,low,0.08287159387868732,normal,68.36847,3.656377655642851,5.956558,11.142857142857142,185.33333333333334,174.1904761904762
3,100,50.96345454545454,26.31789982514964,51.64072973443468,-0.018228622862286346,-0.03576802833494765,stable,0.09907266414134716,low,0.08531352205874432,normal,55.157482,0.44613766170048497,7.2060733,8.2,113.41818181818182,105.21818181818182
4,100,75.48952029520295,45.471457004482914,60.23545629468312,-0.07161164824969574,-0.09486303260327694,stable,0.07237061522974443,low,0.015512752402127643,normal,49.025757,2.9471772200577755,9.074947,12.649446494464945,186.75276752767527,174.10332103321034
5,100,71.75875,40.836714696306075,56.9083417650197,-0.08404515451545223,-0.1171218207054223,stable,0.10373679573166707,low,0.09204339839659059,normal,71.32911,4.824949057785785,6.599508,12.0,167.0,155.0
6,100,73.85802631578946,43.06457008159174,58.30723108882392,-0.07985369589590553,-0.10811783076152186,stable,0.07457982247013767,low,0.023743415946396937,normal,60.487957,4.556203662098705,15.510868,12.394736842105264,172.21052631578948,159.81578947368422
7,100,62.6825,35.32533359715092,56.35597431045495,-0.07853285328532848,-0.12528672801073423,stable,0.1261563929375312,low,0.22278628957193294,normal,61.234924,3.9575856215470337,10.318169,11.5,140.125,128.625
8,100,78.74505338078293,46.136416841631885,58.58960640807831,-0.06147493041119101,-0.07806830749598989,stable,0.07464025343462817,low,0.05728100261003417,normal,56.095272,2.143716685421819,11.637528,14.345195729537366,194.49110320284697,180.1459074733096
9,100,67.36363636363636,35.201172735911385,52.255452104591804,-0.08839593050214148,-0.13122202908550018,stable,0.017653675874126123,low,0.19756573187831855,normal,73.40118,3.62026165915536,6.8293624,14.5,144.5,130.0
10,100,54.754651162790694,28.778398465273703,52.55881985205757,-0.02327521124205464,-0.04250819016790969,stable,0.15865469414339226,low,0.31390631209493325,normal,46.716076,1.1502425954058473,9.335004,11.651162790697674,114.3953488372093,102.74418604651163
11,100,65.6,36.97924342715038,56.37079790724143,0.02815881588158778,0.04292502420973747,stable,0.03778569277982624,low,0.2181403922597314,normal,56.951126,0.4288085323947302,10.420951,11.333333333333334,150.66666666666666,139.33333333333331
12,100,64.30205882352942,33.96633277522364,52.823087466671716,-0.043010006883041664,-0.06688744912675088,stable,0.13185083612010606,low,0.04739121803361441,normal,50.776165,0.4969718272869438,12.40525,10.882352941176471,132.7941176470588,121.91176470588235
13,100,79.35047619047619,46.21179902100624,58.23758248164449,-0.002398335071602251,-0.003022458322550186,stable,0.04033983548029327,low,0.4250340328161416,normal,55.969044,1.5387857310421829,14.532187,11.88888888888889,187.72222222222223,175.83333333333334
14,100,48.309000000000005,22.96792442371172,47.543779469067296,-0.003244124412441355,-0.006715362380594413,stable,0.07637974568273094,low,0.15241545566270853,normal,41.379047,0.4557171401444019,6.3606567,11.633333333333333,98.56666666666666,86.93333333333334
15,100,51.540526315789485,25.952523442583722,50.353625191121,-0.025591927613814104,-0.04965398967215046,stable,0.014312749798046372,low,0.11749525060097504,normal,49.657513,0.33822740541471696,6.6140656,8.824561403508772,135.21052631578948,126.38596491228071
16,100,51.242692307692295,26.075242284724812,50.88577728928292,-0.037504904336588096,-0.07319073734726082,stable,0.04833253962975755,low,0.11366514341392708,normal,51.73421,0.3132851340554001,7.0851483,8.307692307692308,134.75,126.4423076923077
17,100,54.02163636363636,29.4185533963498,54.45698312121537,-0.08346081880915342,-0.15449516976374578,stable,-0.025564540928537563,low,0.16621545308291416,normal,50.084213,-0.37458889301006176,7.046429,9.218181818181819,155.43636363636364,146.21818181818182
18,100,49.923620689655166,24.351098056263886,48.776706736956996,-0.08406644112687174,-0.16839011266723172,stable,0.017594973063438803,low,0.2290982152245587,normal,56.807636,0.39224395218429275,6.6725593,6.448275862068965,101.62068965517241,95.17241379310344
19,100,50.68961538461537,24.32808829985299,47.99422547450759,0.012363082462091928,0.02438977366130145,stable,0.03015422535471829,low,0.09178216503752573,normal,47.459576,-0.39176492757730264,6.3161073,10.846153846153847,110.57692307692308,99.73076923076923
20,100,56.80749999999999,30.424320765772933,53.55687323992948,-0.05269176917691855,-0.09275495168229293,stable,-0.09279343411283858,low,0.21256751373387353,normal,49.75168,0.22207279472084518,6.6615157,9.5,156.72222222222223,147.22222222222223
21,100,59.72944444444445,31.627905034191752,52.95194912386888,-0.12046504650465076,-0.20168452532100428,stable,-0.08302120723994416,low,0.37327269449463985,normal,61.451843,0.24497825115711172,7.9822154,9.083333333333334,143.77777777777777,134.69444444444443
22,100,45.44297872340426,23.67772003923149,52.10424295323951,0.0373804188929529,0.0822578535629775,stable,0.17961895365274394,low,0.3062579230469476,normal,35.09282,-0.154930895025079,6.5429416,8.51063829787234,101.65957446808511,93.14893617021278
23,100,61.78825,32.004437037112524,51.796963074876736,-0.10654395439543965,-0.1724340054871916,stable,-0.056458568460046474,low,0.3340591489736944,normal,51.697826,0.04514101335218977,6.8862824,14.2875,153.95,139.6625
24,100,72.3510702341137,42.124082330671676,58.221781923013026,-0.10595889689303395,-0.14645104288046049,stable,-0.055562889911227015,low,0.40418255914375956,normal,59.850525,1.1369072240549383,15.752289,11.632107023411372,187.685618729097,176.05351170568562
25,100,57.01744186046513,33.58413091592578,58.90150420657931,0.03144774942610477,0.05515461304466217,stable,-0.0634418367467405,low,0.1639409388699559,normal,48.22864,2.1916628884268823,11.202853,4.604651162790698,165.34883720930233,160.74418604651163
26,100,72.76562123039807,45.38852774537607,62.37633511251446,-0.0454069098104024,-0.06240159713146725,stable,-0.10364860876586446,low,0.16791625618149553,normal,70.173836,-0.545597236473238,10.655286,13.48009650180941,191.41133896260556,177.93124246079614
27,100,73.82315789473685,45.34139016469297,61.418925250182966,-0.11978237913376995,-0.16225583211241865,stable,-0.07816300985340431,low,0.258900120502274,normal,72.83993,0.05298670521983117,10.56816,16.23404255319149,191.02015677491602,174.78611422172452
28,100,69.51025477707006,45.02855302544618,64.77972663150148,-0.10557214957164553,-0.15187996348198038,stable,-0.013352604736567771,low,0.46359261082189474,normal,61.95959,-0.343894491662509,15.8554735,15.152866242038217,194.171974522293,179.01910828025478
29,100,52.0888,28.48530362414977,54.6860431112826,0.1450469846984693,0.27846098335624797,stable,-0.04021261540796796,low,0.0840363168174392,normal,43.248215,1.6730734551703195,14.678852,5.6,138.08,132.48000000000002
30,100,49.72230769230769,25.520621374416258,51.32630112894868,0.007072465488307099,0.014223928487135055,stable,0.05202421223919338,low,0.4000126516827386,normal,44.305958,0.8495150412712921,8.677709,9.054945054945055,114.6923076923077,105.63736263736264
31,100,49.9663953488372,22.96503720298426,45.96096444951716,-0.16392390401830892,-0.3280683004525034,stable,0.05689173331174103,low,0.3724620419970956,normal,37.990696,-0.5693369245195724,6.1579742,12.86046511627907,121.53488372093024,108.67441860465117
32,100,49.21819672131148,23.72549440217818,48.20472098260569,-0.09055151416781106,-0.1839797477354595,stable,0.024403957337125293,low,0.3239304397955979,normal,44.067245,0.4031030814964473,6.2388873,11.21311475409836,107.47540983606558,96.26229508196722
