field_id,n_observations,years_covered,mean_ET,std_ET,cv_percent,trend_coefficient,trend_percent_per_period,trend_direction,persistence_lag1,persistence_class,yearly_variability,yearly_cv_percent,min_ET,max_ET,range_ET
0,100,25,74.39636363636365,43.50416246827556,58.47619472494148,-0.11688296102337545,-0.15710843287271248,stable,0.14983574609431105,low,22.22965229872735,29.880025329439462,15.818181818181818,190.0,174.1818181818182
1,100,25,58.99260869565218,30.15281498644538,51.112869312164655,-0.13507011570722288,-0.22896108291135409,stable,0.07605139645294996,low,13.581772130892968,23.022836981091093,7.695652173913044,120.69565217391305,113.0
2,100,25,68.44373015873016,45.36182029646148,66.27607845344103,-0.01893613170840892,-0.027666714926982354,stable,-0.12257136103784316,low,11.990004837846808,17.51804702934861,11.142857142857142,185.33333333333334,174.1904761904762
3,100,25,50.96345454545454,26.31789982514964,51.64072973443468,-0.018228622862286447,-0.035768028334947854,stable,0.09907266414134716,low,11.853259933086859,23.258352556369353,8.2,113.41818181818182,105.21818181818182
4,100,25,75.48952029520295,45.471457004482914,60.23545629468312,-0.07161164824969574,-0.09486303260327694,stable,0.07237061522974447,low,20.24980523682795,26.82465745926159,12.649446494464945,186.75276752767527,174.10332103321034
5,100,25,71.75875,40.836714696306075,56.9083417650197,-0.08404515451545223,-0.1171218207054223,stable,0.10373679573166703,low,19.116106020186223,26.63940776586301,12.0,167.0,155.0
6,100,25,73.85802631578946,43.06457008159174,58.30723108882392,-0.07985369589590553,-0.10811783076152186,stable,0.07457982247013768,low,19.371044022013116,26.227405453795544,12.394736842105264,172.21052631578948,159.81578947368422
7,100,25,62.6825,35.32533359715092,56.35597431045495,-0.07853285328532848,-0.12528672801073423,stable,0.1261563929375312,low,17.382513393494047,27.73104677301328,11.5,140.125,128.625
8,100,25,78.74505338078293,46.136416841631885,58.58960640807831,-0.06147493041119111,-0.07806830749599003,stable,0.07464025343462821,low,21.137431934936966,26.84286952314821,14.345195729537366,194.49110320284697,180.1459074733096
9,100,25,67.36363636363636,35.201172735911385,52.255452104591804,-0.08839593050214188,-0.1312220290855008,stable,0.017653675874126078,low,14.309082245578988,21.241552591277845,14.5,144.5,130.0
10,100,25,54.754651162790694,28.778398465273703,52.55881985205757,-0.02327521124205464,-0.04250819016790969,stable,0.15865469414339223,low,15.146212402287519,27.661964930168963,11.651162790697674,114.3953488372093,102.74418604651163
11,100,25,65.6,36.97924342715038,56.37079790724143,0.02815881588158778,0.04292502420973747,stable,0.03778569277982624,low,15.87959907134518,24.206705901440824,11.333333333333334,150.66666666666666,139.33333333333331
12,100,25,64.30205882352942,33.96633277522364,52.823087466671716,-0.04301000688304157,-0.06688744912675072,stable,0.1318508361201061,low,17.121831270496834,26.627189834599214,10.882352941176471,132.7941176470588,121.91176470588235
13,100,25,79.35047619047619,46.21179902100624,58.23758248164449,-0.002398335071602251,-0.003022458322550186,stable,0.040339835480293296,low,20.05425091139113,25.273006381527026,11.88888888888889,187.72222222222223,175.83333333333334
14,100,25,48.309000000000005,22.96792442371172,47.543779469067296,-0.003244124412441454,-0.006715362380594617,stable,0.07637974568273091,low,11.200235840770894,23.18457397331945,11.633333333333333,98.56666666666666,86.93333333333334
15,100,25,51.540526315789485,25.952523442583722,50.353625191121,-0.0255919276138146,-0.04965398967215143,stable,0.01431274979804626,low,10.180362486826718,19.75215081128878,8.824561403508772,135.21052631578948,126.38596491228071
16,100,25,51.242692307692295,26.075242284724812,50.88577728928292,-0.037504904336588096,-0.07319073734726082,stable,0.04833253962975761,low,10.800428293885432,21.07701177961745,8.307692307692308,134.75,126.4423076923077
17,100,25,54.02163636363636,29.4185533963498,54.45698312121537,-0.08346081880915342,-0.15449516976374578,stable,-0.0255645409285376,low,10.966205810776009,20.29965500667007,9.218181818181819,155.43636363636364,146.21818181818182
18,100,25,49.923620689655166,24.351098056263886,48.776706736956996,-0.08406644112687194,-0.1683901126672321,stable,0.017594973063438775,low,9.516134721391444,19.061387355190988,6.448275862068965,101.62068965517241,95.17241379310344
19,100,25,50.68961538461537,24.32808829985299,47.99422547450759,0.012363082462092027,0.024389773661301645,stable,0.03015422535471829,low,9.926985764860332,19.583864840042235,10.846153846153847,110.57692307692308,99.73076923076923
20,100,25,56.80749999999999,30.424320765772933,53.55687323992948,-0.052691769176918354,-0.09275495168229259,stable,-0.09279343411283862,low,9.12463903395636,16.062384428035664,9.5,156.72222222222223,147.22222222222223
21,100,25,59.72944444444445,31.627905034191752,52.95194912386888,-0.12046504650465076,-0.20168452532100428,stable,-0.08302120723994418,low,9.42495548013194,15.779412595906999,9.083333333333334,143.77777777777777,134.69444444444443
22,100,25,45.44297872340426,23.67772003923149,52.10424295323951,0.03738041889295309,0.08225785356297793,stable,0.1796189536527439,low,13.033084056976518,28.68008309117324,8.51063829787234,101.65957446808511,93.14893617021278
23,100,25,61.78825,32.004437037112524,51.796963074876736,-0.10654395439543965,-0.1724340054871916,stable,-0.0564585684600465,low,10.357446229947321,16.762808834927874,14.2875,153.95,139.6625
24,100,25,72.3510702341137,42.124082330671676,58.221781923013026,-0.10595889689303395,-0.14645104288046049,stable,-0.055562889911226994,low,13.257780509859323,18.32423551850688,11.632107023411372,187.685618729097,176.05351170568562
25,100,25,57.01744186046513,33.58413091592578,58.90150420657931,0.03144774942610477,0.05515461304466217,stable,-0.06344183674674055,low,11.117392422595692,19.498230821723865,4.604651162790698,165.34883720930233,160.74418604651163
26,100,25,72.76562123039807,45.38852774537607,62.37633511251446,-0.0454069098104022,-0.062401597131466965,stable,-0.10364860876586446,low,12.461216519427733,17.12514276483909,13.48009650180941,191.41133896260556,177.93124246079614
27,100,25,73.82315789473685,45.34139016469297,61.418925250182966,-0.11978237913377024,-0.16225583211241904,stable,-0.07816300985340434,low,13.772827317028502,18.656513362198538,16.23404255319149,191.02015677491602,174.78611422172452
28,100,25,69.51025477707006,45.02855302544618,64.77972663150148,-0.10557214957164562,-0.15187996348198052,stable,-0.013352604736567738,low,18.25289707189801,26.25928667710659,15.152866242038217,194.171974522293,179.01910828025478
29,100,25,52.0888,28.48530362414977,54.6860431112826,0.14504698469846966,0.2784609833562487,stable,-0.04021261540796797,low,10.333876453683779,19.838960493779428,5.6,138.08,132.48000000000002
30,100,25,49.72230769230769,25.520621374416258,51.32630112894868,0.007072465488307049,0.014223928487134958,stable,0.052024212239193374,low,12.424369751588525,24.987516324610656,9.054945054945055,114.6923076923077,105.63736263736264
31,100,25,49.9663953488372,22.96503720298426,45.96096444951716,-0.16392390401830892,-0.3280683004525034,stable,0.056891733311741,low,10.494272823193368,21.002661388575806,12.86046511627907,121.53488372093024,108.67441860465117
32,100,25,49.21819672131148,23.72549440217818,48.20472098260569,-0.09055151416781086,-0.1839797477354591,stable,0.024403957337125255,low,9.639606419988123,19.58545225573893,11.21311475409836,107.47540983606558,96.26229508196722
33,100,25,58.65226666666668,29.016196959169772,49.47156965659145,-0.07578677867786755,-0.12921372520618846,stable,-0.008909784436441028,low,11.313350450586146,19.288854623270282,10.16,135.53333333333333,125.37333333333333
34,100,25,65.79872586872587,34.2561715987495,52.062059175877536,0.05184441996323142,0.0787924375111237,stable,-0.01983919330077848,low,12.734583405233654,19.353844982713262,15.961389961389962,156.25482625482624,140.2934362934363
35,100,25,57.26264957264957,32.97678093339391,57.58863967961526,-0.08073992014586151,-0.1409992739567982,stable,0.010544651178444475,low,14.291341852307413,24.957528090235982,13.273504273504274,147.17094017094018,133.8974358974359
36,100,25,52.962888888888884,29.928571105959012,56.508569932328115,0.19843464346434664,0.37466733334853336,stable,-0.01903716193502133,low,11.659962170914643,22.015343980529718,9.422222222222222,154.13333333333333,144.7111111111111
37,100,25,70.2000358422939,40.532133341936806,57.738052204123136,0.010717480350185465,0.015267058230942427,stable,-0.013235636780697451,low,14.762137101815506,21.02867459352728,8.684587813620071,190.43010752688173,181.74551971326164
38,100,25,47.61625000000001,22.62246638410023,47.50997061738425,-0.05112457674338888,-0.10736791902635943,stable,0.09390162533782907,low,10.64941368930799,22.365082696155174,12.125,114.0,101.875
39,100,25,74.42695090439275,43.132000985632054,57.95212683244068,0.19005378057185496,0.2553561287442689,stable,-0.01777618870072477,low,16.55668613738909,22.24555209665575,14.11111111111111,185.11627906976744,171.00516795865633
40,100,25,53.01264150943397,25.34503546551689,47.80941817624116,-0.07483370978607339,-0.1411620090139372,stable,0.0535504926153478,low,10.552761767351537,19.906123269623528,13.150943396226415,115.81132075471699,102.66037735849058
41,100,25,63.36097872340426,34.2453203541512,54.0479661838015,-0.03806844514238661,-0.060081845181985644,stable,-0.005165560300852905,low,13.531618382004995,21.35639103852209,14.008510638297873,167.46382978723403,153.45531914893616
